datetime,time,weekday,what,where,with_whom,mood,what_eating
2022-10-20 16:30:00,16:30:00,Thursday,Study,NaN,NaN,NaN,NaN
2022-10-20 16:00:00,16:00:00,Thursday,Study,Classroom / Study hall,Classmate(s),游때,NaN
2022-10-20 15:30:00,15:30:00,Thursday,Study,Classroom / Study hall,Friend(s),游때,NaN
2022-10-20 15:00:00,15:00:00,Thursday,Eating,Home apartment /room,Alone,游때,Pastries and sweets
2022-10-20 14:30:00,14:30:00,Thursday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-20 14:00:00,14:00:00,Thursday,Sleeping,Home apartment /room,Alone,游뗵,NaN
2022-10-20 13:30:00,13:30:00,Thursday,Personal care,Home apartment /room,Alone,游때,NaN
2022-10-20 13:00:00,13:00:00,Thursday,Eating,Home apartment /room,Alone,游뗵,"Rice, potatoes, beans, pasta, noodles, dumplings, etc."
2022-10-20 12:30:00,12:30:00,Thursday,Eating,Home apartment /room,Roommate(s),游때,"Rice, potatoes, beans, pasta, noodles, dumplings, etc."
2022-10-20 12:00:00,12:00:00,Thursday,Study,Home apartment /room,Alone,游뗵,NaN
2022-10-20 11:30:00,11:30:00,Thursday,Study,Home apartment /room,Alone,游때,NaN
2022-10-20 11:00:00,11:00:00,Thursday,Phone time,Home apartment /room,Alone,游뗵,NaN
2022-10-20 10:30:00,10:30:00,Thursday,Phone time,Home apartment /room,Alone,游때,NaN
2022-10-20 10:00:00,10:00:00,Thursday,Rest,Home apartment /room,Alone,游때,NaN
2022-10-20 09:30:00,09:30:00,Thursday,Personal care,Home apartment /room,Alone,游뗵,NaN
2022-10-20 09:00:00,09:00:00,Thursday,Personal care,Home apartment /room,Alone,游때,NaN
2022-10-20 08:30:00,08:30:00,Thursday,Eating,Home apartment /room,Alone,游때,Pastries and sweets
2022-10-20 08:00:00,08:00:00,Thursday,Social media,Home apartment /room,Alone,游때,NaN
2022-10-20 07:30:00,07:30:00,Thursday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-20 07:00:00,07:00:00,Thursday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-20 06:30:00,06:30:00,Thursday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-20 06:00:00,06:00:00,Thursday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-20 05:30:00,05:30:00,Thursday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-20 05:00:00,05:00:00,Thursday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-20 04:30:00,04:30:00,Thursday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-20 04:00:00,04:00:00,Thursday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-20 03:30:00,03:30:00,Thursday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-20 03:00:00,03:00:00,Thursday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-20 02:30:00,02:30:00,Thursday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-20 02:00:00,02:00:00,Thursday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-20 01:30:00,01:30:00,Thursday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-20 01:00:00,01:00:00,Thursday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-20 00:30:00,00:30:00,Thursday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-20 00:00:00,00:00:00,Thursday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-19 23:30:00,23:30:00,Wednesday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-19 23:00:00,23:00:00,Wednesday,Social media,Home apartment /room,Alone,游때,NaN
2022-10-19 22:30:00,22:30:00,Wednesday,Phone time,Home apartment /room,Partner,游뗵,NaN
2022-10-19 22:00:00,22:00:00,Wednesday,Social life,Home apartment /room,Roommate(s),游뗵,NaN
2022-10-19 21:30:00,21:30:00,Wednesday,Social life,Home apartment /room,Roommate(s),游때,NaN
2022-10-19 21:00:00,21:00:00,Wednesday,Social life,Home apartment /room,Roommate(s),游때,NaN
2022-10-19 20:30:00,20:30:00,Wednesday,Eating,Home apartment /room,Roommate(s),游뗵,Pastries and sweets
2022-10-19 20:00:00,20:00:00,Wednesday,Eating,Home apartment /room,Roommate(s),游뗵,Vegetables
2022-10-19 19:30:00,19:30:00,Wednesday,Commuting,Changing locality,By bus/tram,NaN,NaN
2022-10-19 19:00:00,19:00:00,Wednesday,Study,Classroom / Study hall,Friend(s),游뗵,NaN
2022-10-19 18:30:00,18:30:00,Wednesday,Study,Classroom / Study hall,Friend(s),游뗵,NaN
2022-10-19 18:00:00,18:00:00,Wednesday,Study,Classroom / Study hall,Friend(s),游때,NaN
2022-10-19 17:30:00,17:30:00,Wednesday,Study,Classroom / Study hall,Friend(s),游뗵,NaN
2022-10-19 17:00:00,17:00:00,Wednesday,Study,Classroom / Study hall,Friend(s),游뗵,NaN
2022-10-19 16:30:00,16:30:00,Wednesday,Study,Classroom / Study hall,Classmate(s),游뗵,NaN
2022-10-19 16:00:00,16:00:00,Wednesday,Study,Classroom / Study hall,Classmate(s),游뗵,NaN
2022-10-19 15:30:00,15:30:00,Wednesday,Study,Classroom / Study hall,Classmate(s),游뗵,NaN
2022-10-19 15:00:00,15:00:00,Wednesday,Study,Classroom / Study hall,Classmate(s),游뗵,NaN
2022-10-19 14:30:00,14:30:00,Wednesday,Study,Home apartment /room,Classmate(s),游뗵,NaN
2022-10-19 14:00:00,14:00:00,Wednesday,Personal care,Home apartment /room,Alone,游때,NaN
2022-10-19 13:30:00,13:30:00,Wednesday,Sleeping,Home apartment /room,Alone,游뗵,NaN
2022-10-19 13:00:00,13:00:00,Wednesday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-19 12:30:00,12:30:00,Wednesday,Eating,Home apartment /room,Alone,游뗵,"Rice, potatoes, beans, pasta, noodles, dumplings, etc."
2022-10-19 12:00:00,12:00:00,Wednesday,Commuting,Changing locality,By bus/tram,NaN,NaN
2022-10-19 11:30:00,11:30:00,Wednesday,Commuting,In the street,Friend(s),游뗵,NaN
2022-10-19 11:00:00,11:00:00,Wednesday,Study,Classroom / Study hall,Classmate(s),游뗵,NaN
2022-10-19 10:30:00,10:30:00,Wednesday,Study,Classroom / Study hall,Classmate(s),游뗵,NaN
2022-10-19 10:00:00,10:00:00,Wednesday,Study,Classroom / Study hall,Classmate(s),游뗵,NaN
2022-10-19 09:30:00,09:30:00,Wednesday,Study,Classroom / Study hall,Classmate(s),游뗵,NaN
2022-10-19 09:00:00,09:00:00,Wednesday,Commuting,Classroom / Study hall,Classmate(s),游때,NaN
2022-10-19 08:30:00,08:30:00,Wednesday,Commuting,Study,By bus/tram,NaN,NaN
2022-10-19 08:00:00,08:00:00,Wednesday,Eating,Home apartment /room,Alone,游때,Pastries and sweets
2022-10-19 07:30:00,07:30:00,Wednesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-19 07:00:00,07:00:00,Wednesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-19 06:30:00,06:30:00,Wednesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-19 06:00:00,06:00:00,Wednesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-19 05:30:00,05:30:00,Wednesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-19 05:00:00,05:00:00,Wednesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-19 04:30:00,04:30:00,Wednesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-19 04:00:00,04:00:00,Wednesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-19 03:30:00,03:30:00,Wednesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-19 03:00:00,03:00:00,Wednesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-19 02:30:00,02:30:00,Wednesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-19 02:00:00,02:00:00,Wednesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-19 01:30:00,01:30:00,Wednesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-19 01:00:00,01:00:00,Wednesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-19 00:30:00,00:30:00,Wednesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-19 00:00:00,00:00:00,Wednesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-18 23:30:00,23:30:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-18 23:00:00,23:00:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-18 22:30:00,22:30:00,Tuesday,Social media,Home apartment /room,Roommate(s),游뗵,NaN
2022-10-18 22:00:00,22:00:00,Tuesday,Social media,Home apartment /room,Roommate(s),游때,NaN
2022-10-18 21:30:00,21:30:00,Tuesday,Personal care,Home apartment /room,Alone,游때,NaN
2022-10-18 21:00:00,21:00:00,Tuesday,Eating,Home apartment /room,Roommate(s),游때,Pastries and sweets
2022-10-18 20:30:00,20:30:00,Tuesday,Phone time,Home apartment /room,Relative(s),游뗵,NaN
2022-10-18 20:00:00,20:00:00,Tuesday,Eating,Home apartment /room,Alone,游때,Vegetables
2022-10-18 19:30:00,19:30:00,Tuesday,Social media,Home apartment /room,Alone,游뗵,NaN
2022-10-18 14:30:00,14:30:00,Tuesday,Study,NaN,NaN,NaN,NaN
2022-10-18 14:00:00,14:00:00,Tuesday,Study,NaN,NaN,NaN,NaN
2022-10-18 13:30:00,13:30:00,Tuesday,Social life,"Caf칠, pub, bar",Friend(s),游때,NaN
2022-10-18 13:00:00,13:00:00,Tuesday,Eating,"Caf칠, pub, bar",Friend(s),游뗵,Coffee/tea or similar
2022-10-18 12:30:00,12:30:00,Tuesday,Eating,Classroom / Study hall,Friend(s),游뗵,"Rice, potatoes, beans, pasta, noodles, dumplings, etc."
2022-10-18 12:00:00,12:00:00,Tuesday,Commuting,Changing locality,On foot,NaN,NaN
2022-10-18 11:30:00,11:30:00,Tuesday,Study,University Library,Alone,游때,NaN
2022-10-18 11:00:00,11:00:00,Tuesday,Study,University Library,Alone,游때,NaN
2022-10-18 10:30:00,10:30:00,Tuesday,Study,University Library,Alone,游뗵,NaN
2022-10-18 10:00:00,10:00:00,Tuesday,Study,University Library,Alone,游뗵,NaN
2022-10-18 09:30:00,09:30:00,Tuesday,Rest,NaN,NaN,NaN,NaN
2022-10-18 09:00:00,09:00:00,Tuesday,Rest,NaN,NaN,NaN,NaN
2022-10-18 08:30:00,08:30:00,Tuesday,Commuting,Study,On foot,NaN,NaN
2022-10-18 08:00:00,08:00:00,Tuesday,Eating,Home apartment /room,Alone,游때,Pastries and sweets
2022-10-18 07:30:00,07:30:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-18 07:00:00,07:00:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-18 06:30:00,06:30:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-18 06:00:00,06:00:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-18 05:30:00,05:30:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-18 05:00:00,05:00:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-18 04:30:00,04:30:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-18 04:00:00,04:00:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-18 03:30:00,03:30:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-18 03:00:00,03:00:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-18 02:30:00,02:30:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-18 02:00:00,02:00:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-18 01:30:00,01:30:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-18 01:00:00,01:00:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-18 00:30:00,00:30:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-18 00:00:00,00:00:00,Tuesday,Sleeping,NaN,NaN,NaN,NaN
2022-10-17 23:30:00,23:30:00,Monday,Sleeping,NaN,NaN,NaN,NaN
2022-10-17 23:00:00,23:00:00,Monday,Sleeping,NaN,NaN,NaN,NaN
2022-10-17 22:30:00,22:30:00,Monday,Social media,Home apartment /room,Alone,游땛,NaN
2022-10-17 22:00:00,22:00:00,Monday,Rest,Home apartment /room,Friend(s),游뗵,NaN
2022-10-17 21:30:00,21:30:00,Monday,Rest,Home apartment /room,Alone,游뗵,NaN
2022-10-17 21:00:00,21:00:00,Monday,Social media,Home apartment /room,Alone,游뗵,NaN
2022-10-17 20:30:00,20:30:00,Monday,Eating,Home apartment /room,Alone,游땛,Fish
2022-10-17 20:00:00,20:00:00,Monday,Study,NaN,NaN,NaN,NaN
2022-10-17 19:30:00,19:30:00,Monday,Study,NaN,NaN,NaN,NaN
2022-10-17 19:00:00,19:00:00,Monday,Study,NaN,NaN,NaN,NaN
2022-10-17 18:30:00,18:30:00,Monday,Study,NaN,NaN,NaN,NaN
2022-10-17 18:00:00,18:00:00,Monday,Study,Classroom / Study hall,Classmate(s),游뗵,NaN
2022-10-17 17:30:00,17:30:00,Monday,Study,Classroom / Study hall,Friend(s),游때,NaN
2022-10-17 17:00:00,17:00:00,Monday,Commuting,Study,By bus/tram,NaN,NaN
2022-10-17 16:30:00,16:30:00,Monday,Commuting,In the street,Alone,游때,NaN
2022-10-17 16:00:00,16:00:00,Monday,Personal care,Home apartment /room,Alone,游뗵,NaN
2022-10-17 15:30:00,15:30:00,Monday,Social media,Home apartment /room,Alone,游때,NaN
2022-10-17 15:00:00,15:00:00,Monday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-17 14:30:00,14:30:00,Monday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-17 14:00:00,14:00:00,Monday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-17 13:30:00,13:30:00,Monday,Social media,Home apartment /room,Alone,游뗵,NaN
2022-10-17 13:00:00,13:00:00,Monday,Eating,Home apartment /room,Alone,游뗵,"Rice, potatoes, beans, pasta, noodles, dumplings, etc."
2022-10-17 12:30:00,12:30:00,Monday,Eating,Home apartment /room,Alone,游때,"Rice, potatoes, beans, pasta, noodles, dumplings, etc."
2022-10-17 12:00:00,12:00:00,Monday,Chores,Home apartment /room,Alone,游뗵,NaN
2022-10-17 11:30:00,11:30:00,Monday,Sport,"Gym, swimming pool, Sports centre...",Alone,游뗵,Other or unspecified sports or indoor activities
2022-10-17 11:00:00,11:00:00,Monday,Sport,"Gym, swimming pool, Sports centre...",Alone,游때,Other or unspecified sports or indoor activities
2022-10-17 10:30:00,10:30:00,Monday,Study,Home apartment /room,Alone,游뗵,NaN
2022-10-17 10:00:00,10:00:00,Monday,Study,Home apartment /room,Alone,游뗵,NaN
2022-10-17 09:30:00,09:30:00,Monday,Study,Home apartment /room,Alone,游뗵,NaN
2022-10-17 09:00:00,09:00:00,Monday,Personal care,Home apartment /room,Alone,游뗵,NaN
2022-10-17 08:30:00,08:30:00,Monday,Eating,Home apartment /room,Alone,游뗵,Pastries and sweets
2022-10-17 08:00:00,08:00:00,Monday,Chores,Home apartment /room,Alone,游뗵,NaN
2022-10-17 07:30:00,07:30:00,Monday,Social media,Home apartment /room,Alone,游뗵,NaN
2022-10-17 07:00:00,07:00:00,Monday,Sleeping,NaN,NaN,NaN,NaN
2022-10-17 06:30:00,06:30:00,Monday,Sleeping,NaN,NaN,NaN,NaN
2022-10-17 06:00:00,06:00:00,Monday,Sleeping,NaN,NaN,NaN,NaN
2022-10-17 05:30:00,05:30:00,Monday,Sleeping,NaN,NaN,NaN,NaN
2022-10-17 05:00:00,05:00:00,Monday,Sleeping,NaN,NaN,NaN,NaN
2022-10-17 04:30:00,04:30:00,Monday,Sleeping,NaN,NaN,NaN,NaN
2022-10-17 04:00:00,04:00:00,Monday,Sleeping,NaN,NaN,NaN,NaN
2022-10-17 03:30:00,03:30:00,Monday,Sleeping,NaN,NaN,NaN,NaN
2022-10-17 03:00:00,03:00:00,Monday,Sleeping,NaN,NaN,NaN,NaN
2022-10-17 02:30:00,02:30:00,Monday,Sleeping,NaN,NaN,NaN,NaN
2022-10-17 02:00:00,02:00:00,Monday,Sleeping,NaN,NaN,NaN,NaN
2022-10-17 01:30:00,01:30:00,Monday,Sleeping,NaN,NaN,NaN,NaN
2022-10-17 01:00:00,01:00:00,Monday,Sleeping,NaN,NaN,NaN,NaN
2022-10-17 00:30:00,00:30:00,Monday,Sleeping,NaN,NaN,NaN,NaN
2022-10-17 00:00:00,00:00:00,Monday,Sleeping,NaN,NaN,NaN,NaN
2022-10-16 23:30:00,23:30:00,Sunday,Sleeping,NaN,NaN,NaN,NaN
2022-10-16 23:00:00,23:00:00,Sunday,Sleeping,NaN,NaN,NaN,NaN
2022-10-16 22:30:00,22:30:00,Sunday,Sleeping,NaN,NaN,NaN,NaN
2022-10-16 22:00:00,22:00:00,Sunday,Sleeping,NaN,NaN,NaN,NaN
2022-10-16 21:30:00,21:30:00,Sunday,Sleeping,NaN,NaN,NaN,NaN
2022-10-16 21:00:00,21:00:00,Sunday,Sleeping,Home apartment /room,Alone,游뗵,NaN
2022-10-16 20:30:00,20:30:00,Sunday,Sleeping,Home apartment /room,Alone,游뗵,NaN
2022-10-16 20:00:00,20:00:00,Sunday,Sleeping,Home apartment /room,Alone,游뗵,NaN
2022-10-16 19:30:00,19:30:00,Sunday,Eating,Home apartment /room,Alone,游뗵,Meat
2022-10-16 19:00:00,19:00:00,Sunday,Phone time,Home apartment /room,Partner,游뗵,NaN
2022-10-16 18:30:00,18:30:00,Sunday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-16 18:00:00,18:00:00,Sunday,Commuting,Changing locality,On foot,NaN,NaN
2022-10-16 17:30:00,17:30:00,Sunday,Commuting,Changing locality,By bus/tram,NaN,NaN
2022-10-16 17:00:00,17:00:00,Sunday,Commuting,Changing locality,By bus/tram,NaN,NaN
2022-10-16 16:30:00,16:30:00,Sunday,Commuting,Changing locality,By bus/tram,NaN,NaN
2022-10-16 16:00:00,16:00:00,Sunday,Sleeping,Countryside/mountain/hill/beach,Friend(s),游뗵,NaN
2022-10-16 15:30:00,15:30:00,Sunday,Rest,Countryside/mountain/hill/beach,Friend(s),游뗵,NaN
2022-10-16 15:00:00,15:00:00,Sunday,Sleeping,Countryside/mountain/hill/beach,Friend(s),游때,NaN
2022-10-16 14:30:00,14:30:00,Sunday,Sleeping,Countryside/mountain/hill/beach,Friend(s),游때,NaN
2022-10-16 14:00:00,14:00:00,Sunday,Sleeping,Countryside/mountain/hill/beach,Friend(s),游때,NaN
2022-10-16 13:30:00,13:30:00,Sunday,Commuting,Home apartment /room,Friend(s),游때,NaN
2022-10-16 13:00:00,13:00:00,Sunday,Commuting,Countryside/mountain/hill/beach,Friend(s),游때,NaN
2022-10-16 12:30:00,12:30:00,Sunday,Commuting,Countryside/mountain/hill/beach,Friend(s),游때,NaN
2022-10-16 12:00:00,12:00:00,Sunday,Commuting,Countryside/mountain/hill/beach,Friend(s),游때,NaN
2022-10-16 11:30:00,11:30:00,Sunday,Commuting,Countryside/mountain/hill/beach,Friend(s),游때,NaN
2022-10-16 11:00:00,11:00:00,Sunday,Commuting,Countryside/mountain/hill/beach,Friend(s),游때,NaN
2022-10-16 10:30:00,10:30:00,Sunday,Commuting,Canteen,Friend(s),游때,NaN
2022-10-16 10:00:00,10:00:00,Sunday,Commuting,Countryside/mountain/hill/beach,Friend(s),游때,NaN
2022-10-16 09:30:00,09:30:00,Sunday,Commuting,Countryside/mountain/hill/beach,Friend(s),游때,NaN
2022-10-16 09:00:00,09:00:00,Sunday,Commuting,Countryside/mountain/hill/beach,Friend(s),游때,NaN
2022-10-16 08:30:00,08:30:00,Sunday,Commuting,Other leisure,By bus/tram,NaN,NaN
2022-10-16 08:00:00,08:00:00,Sunday,Commuting,Other leisure,By bus/tram,NaN,NaN
2022-10-16 07:30:00,07:30:00,Sunday,Sleeping,NaN,NaN,NaN,NaN
2022-10-16 07:00:00,07:00:00,Sunday,Sleeping,NaN,NaN,NaN,NaN
2022-10-16 06:30:00,06:30:00,Sunday,Sleeping,NaN,NaN,NaN,NaN
2022-10-16 06:00:00,06:00:00,Sunday,Sleeping,NaN,NaN,NaN,NaN
2022-10-16 05:30:00,05:30:00,Sunday,Sleeping,NaN,NaN,NaN,NaN
2022-10-16 05:00:00,05:00:00,Sunday,Sleeping,NaN,NaN,NaN,NaN
2022-10-16 04:30:00,04:30:00,Sunday,Sleeping,NaN,NaN,NaN,NaN
2022-10-16 04:00:00,04:00:00,Sunday,Sleeping,NaN,NaN,NaN,NaN
2022-10-16 03:30:00,03:30:00,Sunday,Sleeping,NaN,NaN,NaN,NaN
2022-10-16 03:00:00,03:00:00,Sunday,Sleeping,NaN,NaN,NaN,NaN
2022-10-16 02:30:00,02:30:00,Sunday,Sleeping,NaN,NaN,NaN,NaN
2022-10-16 02:00:00,02:00:00,Sunday,Sleeping,NaN,NaN,NaN,NaN
2022-10-16 01:30:00,01:30:00,Sunday,Sleeping,NaN,NaN,NaN,NaN
2022-10-16 01:00:00,01:00:00,Sunday,Sleeping,NaN,NaN,NaN,NaN
2022-10-16 00:30:00,00:30:00,Sunday,Sleeping,NaN,NaN,NaN,NaN
2022-10-16 00:00:00,00:00:00,Sunday,Sleeping,NaN,NaN,NaN,NaN
2022-10-15 23:30:00,23:30:00,Saturday,Sleeping,NaN,NaN,NaN,NaN
2022-10-15 23:00:00,23:00:00,Saturday,Social media,Home apartment /room,Alone,游뗵,NaN
2022-10-15 22:30:00,22:30:00,Saturday,Social life,Home apartment /room,Roommate(s),游때,NaN
2022-10-15 22:00:00,22:00:00,Saturday,Social life,Home apartment /room,Roommate(s),游뗵,NaN
2022-10-15 21:30:00,21:30:00,Saturday,Eating,Home apartment /room,Roommate(s),游뗵,Coffee/tea or similar
2022-10-15 21:00:00,21:00:00,Saturday,Social media,Home apartment /room,Roommate(s),游뗵,NaN
2022-10-15 20:30:00,20:30:00,Saturday,Phone time,Home apartment /room,Relative(s),游땛,NaN
2022-10-15 20:00:00,20:00:00,Saturday,Eating,Home apartment /room,Alone,游뗵,Vegetables
2022-10-15 19:30:00,19:30:00,Saturday,Chores,Home apartment /room,Alone,游뗵,NaN
2022-10-15 19:00:00,19:00:00,Saturday,Personal care,Home apartment /room,Alone,游때,NaN
2022-10-15 18:30:00,18:30:00,Saturday,Study,Home apartment /room,Alone,游뗵,NaN
2022-10-15 18:00:00,18:00:00,Saturday,Study,Home apartment /room,Alone,游땛,NaN
2022-10-15 17:30:00,17:30:00,Saturday,Study,Home apartment /room,Alone,游뗴,NaN
2022-10-15 17:00:00,17:00:00,Saturday,Rest,NaN,NaN,NaN,NaN
2022-10-15 16:30:00,16:30:00,Saturday,Rest,NaN,NaN,NaN,NaN
2022-10-15 16:00:00,16:00:00,Saturday,Rest,Home apartment /room,Alone,游,NaN
2022-10-15 15:30:00,15:30:00,Saturday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-15 15:00:00,15:00:00,Saturday,Sleeping,Home apartment /room,Alone,游때,NaN
2022-10-15 14:30:00,14:30:00,Saturday,Social media,Home apartment /room,Alone,游때,NaN
2022-10-15 14:00:00,14:00:00,Saturday,Social media,Home apartment /room,Alone,游뗵,NaN
